Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
14-036679,2014-08,06/14/2014 07:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5453,DELMAR BLVD,49, , ,5453,DELMAR,883561.5,1027076
14-026286,2014-08,06/14/2014 20:00, , , ,-1, , 71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4035,LOUIS,56, , ,4035,ST LOUIS,0,0
14-035680,2014-08,06/15/2014 07:23,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",4738,S GRAND BLVD,16, , ,4738,GRAND,891888.3,998118.7
14-039118,2014-08,06/17/2014 16:30,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5457,DELMAR BLVD,49, , ,5457,DELMAR,883561.5,1027076
14-035497,2014-08,06/17/2014 21:41,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4341,MORGANFORD RD,5, ,NUISANCE PROPERTY,4341,MORGANFORD,887371.9,1003242
14-026886,2014-08,06/18/2014 17:30, , , ,-1, ,265321,4,LEAVING SCENE OF ACCIDENT,1430,PARK,65, , ,1430,PARK,0,0
14-035509,2014-08,06/19/2014 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,8880,N BROADWAY,74, , ,862,RIVERVIEW,897929.1,1053370
14-035961,2014-08,06/19/2014 14:00,Y, , ,1, ,115400,5,STLG BY DECEIT/IDENTITY THEFT REPORT,5651,CABANNE AVE,48, , ,4014,UNION,882347.1,1028834
14-037917,2014-08,06/20/2014 18:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3107,MIAMI ST,19, , ,3107,MIAMI,895761.9,1004192
14-027517,2014-08,06/22/2014 05:00, , , ,-1, , 31211,3,ROBBERY-HIGHWAY    /KNIFE USED/SUCCESSFUL,3300,MISSOURI,22, , , , ,0,0
14-039315,2014-08,06/22/2014 12:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,3944,OLIVE ST,38, , ,3944,OLIVE,894219.3,1022588
14-027589,2014-08,06/22/2014 15:30, , , ,1, , 63701,3,LARCENY-SHOPLIFT UNDER $500,3751,JEFFERSON,19, , ,3751,JEFFERSON,0,0
14-027589,2014-08,06/22/2014 15:30, , , ,-1, ,241100,3,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,3751,JEFFERSON,19, , ,3751,JEFFERSON,0,0
14-037001,2014-08,06/24/2014 10:00,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,2919,SIDNEY ST,25, , ,2919,SIDNEY,897226.2,1009982
14-033235,2014-08,06/24/2014 10:35,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,4622,MORAINE AVE,69, , ,4622,MORAINE,897749.3,1036939
14-029349,2014-08,06/24/2014 11:01,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4451,FOREST PARK AVE,38, ,@PARKVIEW APTS,4451,FOREST PARK,889537.3,1021388
14-028297,2014-08,06/26/2014 11:00,Y, , ,1, ,182400,6,DRUGS-POSSESSION/MARIJUANA,8525,MORA LN,73, , ,8525,MORA,891765.5,1049209
14-038995,2014-08,06/26/2014 14:02,Y, , ,1, , 51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1129,DOVER PL,1, ,VACANT RESIDENCE,1129,DOVER,890328.1,995187
14-038150,2014-08,06/26/2014 18:50,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1020,LOUGHBOROUGH AVE,1, ,@SCHNUCKS - LOUGHBOROUGH,1020,LOUGHBOROUGH,888369.9,991903
14-033298,2014-08,06/27/2014 13:00,Y, , ,1, ,241100,1,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL,2920,MERAMEC ST,17, , ,2920,MERAMEC,895897,1000157
14-035559,2014-08,06/27/2014 13:48,Y, , ,1, ,115100,4,FRAUD-STEALING BY DECEIT/OVER $150,1407,WASHINGTON AVE,36,US BANK, ,1407,WASHINGTON,906005.4,1019294
14-028478,2014-08,06/27/2014 15:12,Y, , ,1, ,130000,1,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",5650,GRAVOIS AVE,5, ,@ GRAVOIS DETAIL - WINDOWN TINT,5718,GRAVOIS,884831.2,999059.3
14-039119,2014-08,06/29/2014 21:37,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1252,AUBERT AVE,53, , ,1252,AUBERT,888623.1,1028891
14-038599,2014-08,06/30/2014 12:00,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",6168,WESTMINSTER PL,46, , ,6168,WESTMINSTER,877650.4,1026778
14-035990,2014-08,06/30/2014 15:00,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",4008,N 9TH ST,64, , ,4008,9TH,906361.9,1031474
