MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2010-06,05/04/2010 07:00,Y, , ,1, 67701,4,LARCENY-FROM BUILDING UNDER $500,600,WASHINGTON AVE,35, , ,600,WASHINGTON,908952.8,1018432
2010-06,05/04/2010 11:08,Y, , ,1,265321,4,LEAVING SCENE OF ACCIDENT,1526,N JEFFERSON AVE,60, ,PARKING LOT,1526,JEFFERSON,902338.2,1024091
2010-06,05/04/2010 12:00,Y, , ,1, 67701,3,LARCENY-FROM BUILDING UNDER $500,2101,S JEFFERSON AVE,24,AUTOMATIC TELLER MACHINE, ,4014,UNION,899566.5,1011404
2010-06,05/04/2010 13:00,Y, , ,1, 65701,2,LARCENY-MTR VEH PARTS UNDER $500,5939,NAGEL AVE,8, ,APT 202,5939,NAGEL,878155,997782.9
2010-06,05/06/2010 20:24,Y, , ,1,266999,8,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4027,ASHLAND AVE,56, , ,4027,ASHLAND,898089.1,1030459
2010-06,05/08/2010 08:30,Y, , ,1,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1448,LASALLE LN,33,CLINTON PEABODY COMPLEX, ,1448,LASALLE,904166.6,1014207
2010-06,05/08/2010 20:38, , ,Y,1, 43015,8,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,4622,NEWBERRY,54, , ,4622,NEWBERRY,0,0
2010-06,05/08/2010 20:38, , ,Y,-1, 91114,8,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4622,NEWBERRY,54, , ,4622,NEWBERRY,0,0
2010-06,05/09/2010 01:30,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7892,GERMANIA ST,1, ,SOUTHWEST CROSSING APARTMENTS,7892,GERMANIA,886152.2,990165.3
2010-06,05/09/2010 01:45,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3253,LIBERTY ST,16, ,NUISANCE PROPERTY,3253,LIBERTY,893456.3,996807.3
2010-06,05/09/2010 11:00,Y, , ,1, 67701,1,LARCENY-FROM BUILDING UNDER $500,617,WALSH ST,16, , ,617,WALSH,892843.9,996040.4
2010-06,05/09/2010 23:30,Y, , ,1, 64701,9,LARCENY-FROM MTR VEH UNDER $500,1900,LOCUST ST,37, , ,1900,LOCUST,903882.1,1019249
2010-06,05/10/2010 04:00, ,Y, ,-1, 21000,9,RAPE -- FORCIBLE,4200,ARCO,39, , ,4200,ARCO,0,0
2010-06,05/10/2010 06:00,Y, , ,1, 69602,2,"LARCENY-ALL OTHER $500 - $24,999",6948,CHIPPEWA ST,8, , ,6948,CHIPPEWA,874317.6,1002964
2010-06,05/10/2010 14:00,Y, , ,1, 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",525,S JEFFERSON AVE,37, , ,525,JEFFERSON,900510.3,1017215
2010-06,05/11/2010 00:00,Y, , ,1, 67701,6,LARCENY-FROM BUILDING UNDER $500,1075,RIVERVIEW BLVD,74, , ,1075,RIVERVIEW,895628.1,1052330
2010-06,05/11/2010 10:07,Y, , ,1, 92000,1,SIMPLE ASSAULT-HARRASSMENT,7153,VIRGINIA AVE,1, , ,7153,VIRGINIA,889135.2,990207.4
2010-06,05/11/2010 15:44,Y, , ,1,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,1641,S KINGSHIGHWAY BLVD,12, , ,1641,KINGSHIGHWAY,886712.8,1014540
2010-06,05/11/2010 20:00,Y, , ,1, 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3260,JANUARY AVE,14, , ,3260,JANUARY,880766.6,1008292
2010-06,05/11/2010 23:30,Y, , ,1, 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",800,N 3RD ST,35,SKYBOX LOUNGE,REAR OF LOCATION, , ,910107.5,1018787
2010-06,05/12/2010 00:01,Y, , ,1,112020,9,FRAUD-CREDIT DEVICE/UNDER $150,4115,MCPHERSON AVE,38, , ,4115,MCPHERSON,892841.2,1022730
2010-06,05/12/2010 01:18,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4263,VIRGINIA AVE,16, ,NUISANCE PROPERTY,4263,VIRGINIA,894002.6,999741.6
2010-06,05/12/2010 05:00,Y, , ,1, 71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,6900,GRAVOIS AVE,4, , ,6900,GRAVOIS,881785.8,996419.9
2010-06,05/12/2010 10:54,Y, , ,1, 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3259,S KINGSHIGHWAY BLVD,14,MCMAHON AUTO SALES, ,3259,KINGSHIGHWAY,885955.6,1007795
2010-06,05/12/2010 12:45,Y, , ,1,264100,6,HEALTH-SANITATION VIOL,4931,CLAXTON AVE,71, , ,4931,CLAXTON,891611.4,1040367
2010-06,05/12/2010 16:00,Y, , ,1,264100,3,HEALTH-SANITATION VIOL,3335,SALENA ST,22, , ,3335,SALENA,900248.8,1005005
2010-06,05/13/2010 01:50,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,504,BATES ST,1, ,BP STATION,504,BATES,892637.8,994365.9
2010-06,05/13/2010 11:00,Y, , ,1,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3405,SHENANDOAH AVE,25, , ,3405,SHENANDOAH,895531.5,1010908
2010-06,05/14/2010 02:00,Y, , ,1,263150,3,ABANDONMENT OF A CORPSE,3723,PENNSYLVANIA AVE,19, , ,3723,PENNSYLVANIA,895948.6,1003153
2010-06,05/14/2010 12:00,Y, , ,1,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3336,S GRAND BLVD,25, ,LIBRARY,3336,GRAND,893662,1006013
2010-06,05/14/2010 15:03,Y, , ,1, 69602,2,"LARCENY-ALL OTHER $500 - $24,999",7000,MARDEL AVE,9,MARDEL INTERCEPTOR  OUTFALL, ,7000,MARDEL,873974.3,1006126
2010-06,05/15/2010 01:00,Y, , ,1,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3674,LIERMANN AVE,16, ,NUISANCE PROPERTY,3674,LIERMANN,892333.8,1001688
2010-06,05/15/2010 04:07,Y, , ,1, 44015,3,ASSLT-AGGRV-HND/FST/FT-2ND-ADUL-DOMESTIC,2310,PESTALOZZI ST,22, , ,2310,PESTALOZZI,899316.1,1007637
2010-06,05/15/2010 10:00,Y, , ,1, 51312,7,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5350,PATTON AVE,50, , ,5350,PATTON,886000.5,1032500
2010-06,05/15/2010 10:37,Y, , ,1, 69702,1,LARCENY-ALL OTHER UNDER $500,7892,GERMANIA ST,1, , ,7892,GERMANIA,886152.2,990165.3
2010-06,05/15/2010 12:00,Y, , ,1, 73313,3,AUTO THEFT-MTRCYCLE/PERM RETNT/UNRECOV OVER 48,3340,INDIANA AVE,22, , ,3340,INDIANA,899135.3,1005107
