MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2008-09,07/28/2008 16:00,Y, , ,1, 65701,9,LARCENY-MTR VEH PARTS UNDER $500,4466,WEST PINE BLVD,38, ,ALIAS 4466 W PINE BLVD CITY ALIAS 44,4466,WEST PINE,889566.1,1022107
2008-09,07/30/2008 10:00,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5935,THEODORE AVE,76, , ,5935,THEODORE,889814.7,1044776
2008-09,07/31/2008 09:00,Y, , ,1, 67701,2,LARCENY-FROM BUILDING UNDER $500,2531,HAMPTON AVE,11, , ,2531,HAMPTON,880747.6,1011938
2008-09,08/01/2008 08:00,Y, , ,1, 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,3931,SHREVE AVE,69, , ,3931,SHREVE,893123.4,1035045
2008-09,08/01/2008 10:00,Y, , ,1, 51130,2,BURGLARY-RESIDENCE/DAY/ATT FORCE ENTRY,6242,POINTVIEW LN,88, , ,6242,POINTVIEW LN,874705,998688.1
2008-09,08/01/2008 12:00,Y, , ,1, 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,7935,CHURCH RD,74, , ,7935,CHURCH RD,896824.5,1046764
2008-09,08/01/2008 12:00,Y, , ,1,264100,4,HEALTH-SANITATION VIOL,1211,MACKAY PL,32, , ,1211,MCKAY PL,901264.3,1014445
2008-09,08/01/2008 16:33,Y, , ,1, 67701,4,LARCENY-FROM BUILDING UNDER $500,1434,MENARD ST,34, , ,1434,MENARD,905187,1012305
2008-09,08/02/2008 01:00,Y, , ,1, 64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT,2050,BLENDON PL,43, , ,2050,BLENDON PL,874483.4,1014636
2008-09,08/03/2008 09:00,Y, , ,1, 67701,6,LARCENY-FROM BUILDING UNDER $500,846,HARLAN AVE,74, , ,0,HARLAN,897083.6,1051799
2008-09,08/03/2008 15:50,Y, , ,1,115400,7,STLG BY DECEIT/IDENTITY THEFT REPORT,5818,SELBER CT,50, , ,5818,SELBER CT,885088.8,1037930
2008-09,08/03/2008 20:30,Y, , ,1,266999,2,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5326,DEVONSHIRE AVE,7, ,ALLEY,5326,DEVONSHIRE,882219.2,1002810
2008-09,08/04/2008 12:00,Y, , ,1, 67601,9,"LARCENY-FROM BUILDING $500 - $24,999",4245,PAPIN ST,39, , ,4245,PAPIN,891244.6,1018621
2008-09,08/05/2008 09:00,Y, , ,1,117000,3,FAILURE TO RETURN BORROWED/RENTED VEHICL,4257,MIAMI ST,15, ,APT 5,4257,MIAMI,888365.3,1005230
2008-09,08/05/2008 17:00,Y, , ,1, 65701,1,LARCENY-MTR VEH PARTS UNDER $500,3647,ROBERT AVE,4, , ,3647,ROBERT,886967.8,991642.9
2008-09,08/06/2008 10:00,Y, , ,1,101000,1,FORGERY,7256,GRAVOIS AVE,4, ,FIRST BANK,7256,GRAVOIS,879416.3,994526.4
2008-09,08/07/2008 01:40, , ,Y,-1, 83000,6,ARSON-KNOWINGLY BURNING/SUCCESS,8616,NEWBY ST,74, , ,8616,NEWBY,895734,1050293
2008-09,08/08/2008 00:00,Y, , ,1, 69702,7,LARCENY-ALL OTHER UNDER $500,6030,PERSHING AVE,46, ,APT 3W,6030,PERSHING,878558.8,1025302
2008-09,08/08/2008 08:00,Y, , ,1, 92000,2,SIMPLE ASSAULT-HARRASSMENT,1900,HAMPTON AVE,12,ST LOUIS CITY STREET DEPT.,@STREET DEPT,1900,HAMPTON,880896.1,1014741
2008-09,08/08/2008 10:00,Y, , ,1, 67701,5,LARCENY-FROM BUILDING UNDER $500,4255,PRAIRIE AVE,67, , ,4255,PRAIRIE,901259.7,1032872
2008-09,08/08/2008 13:00,Y, , ,1, 69702,6,LARCENY-ALL OTHER UNDER $500,4424,ROSALIE ST,69, , ,4424,ROSALIE,897655.4,1036480
2008-09,08/08/2008 23:30, , ,Y,1, 71030,9,AUTO THEFT-PERM RETNT/JOY RIDE,812,S THERESA AVE,37, , ,0,S THERESA,896414.3,1017222
2008-09,08/08/2008 23:30, , ,Y,-1, 71013,9,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,812,S THERESA AVE,37, , ,0,S THERESA,896414.3,1017222
2008-09,08/09/2008 01:20, ,Y, ,-1, 41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,1035,THEOBALD ST,74, , ,1035,THEOBALD,895954.8,1050163
2008-09,08/09/2008 18:55, , ,Y,1, 91123,5,SIMPLE ASSAULT-CHILD/NO INJURY,2041,E OBEAR AVE,66, ,STREET,2041,OBEAR,903209.7,1033402
2008-09,08/09/2008 18:55, , ,Y,-1, 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,2041,E OBEAR AVE,66, ,STREET,2041,OBEAR,903209.7,1033402
2008-09,08/10/2008 05:00,Y, , ,1,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1438,S 18TH ST,32, , ,1438,S 18TH,902750.3,1013133
2008-09,08/10/2008 10:00,Y, , ,1,115400,3,STLG BY DECEIT/IDENTITY THEFT REPORT,3546,NEBRASKA AVE,19, , ,3546,NEBRASKA,896627.1,1004126
2008-09,08/11/2008 10:00,Y, , ,1, 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4585,CARTER AVE,69, , ,4585,CARTER,895617.6,1036622
2008-09,08/11/2008 11:30,Y, , ,1,264100,2,HEALTH-SANITATION VIOL,5809,NASHVILLE AVE,41, , ,5809,NASHVILLE,881773.7,1016665
2008-09,08/11/2008 12:30,Y, , ,1, 67701,2,LARCENY-FROM BUILDING UNDER $500,5319,LANSDOWNE AVE,7, ,@SCHOOL - BUDER,5319,LANSDOWNE,882189.9,1003328
2008-09,08/11/2008 14:00, , ,Y,1, 69703,3,LARCENY-ALL OTH/FRM PRSN/UNDER $500,3458,HUMPHREY ST,25, , ,3458,HUMPHREY,894292.3,1006579
