MonthReportedtoMSHP,DateOccured,NewCrimeIndicator,UnfoundedCrimeIndicator,AdministrativeAdjustmentIndicator,Count,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
2009-04,04/23/2009 16:00,Y, , ,1, 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4301,N 20TH ST,66, , ,4301,20TH,903851.8,1032057
2009-04,04/23/2009 16:10,Y, , ,1, 41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3510,ALBERTA ST,16, ,RESIDENCE,3510,ALBERTA,893411.4,1002036
2009-04,04/23/2009 16:10,Y, , ,1,266510,1,PUBLIC ORDER-TRESPASSING,5014,VIRGINIA AVE,16, , ,5014,VIRGINIA,893327.3,996290.4
2009-04,04/23/2009 16:15,Y, , ,1, 43016,8,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,4149,ENRIGHT AVE,58, ,RESIDENCE,4149,ENRIGHT,893573.2,1024666
2009-04,04/23/2009 16:15,Y, , ,1, 43023,7,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 3RD DEGREE,1298,ACADEMY AVE,51, , , , ,887135.4,1029347
2009-04,04/23/2009 16:30,Y, , ,1,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3804,S COMPTON AVE,16,REAR PARKING PAD, , , ,895066.1,1002950
2009-04,04/23/2009 16:30,Y, , ,1,142320,9,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4501,LACLEDE AVE,38, ,SUITE B,4501,LACLEDE,888991.9,1022005
2009-04,04/23/2009 16:48,Y, , ,1, 91113,9,SIMPLE ASSAULT-ADULT/NO INJURY,325,N NEWSTEAD AVE,38, ,@MARIAN HALL,325,NEWSTEAD,890374.3,1023427
2009-04,04/23/2009 17:00,Y, , ,1,172100,6,SEX OFFNS-SODOMY/FORCIBLE,4600,RICHARD PL,69, , ,4600,RICHARD,895549.3,1037095
2009-04,04/23/2009 17:00,Y, , ,1, 69602,6,"LARCENY-ALL OTHER $500 - $24,999",4965,CLAXTON AVE,71, , ,4965,CLAXTON,891875.9,1040552
2009-04,04/23/2009 17:00,Y, , ,1, 92000,8,SIMPLE ASSAULT-HARRASSMENT,4865,GREER AVE,55, , ,4865,GREER,891220,1033489
2009-04,04/23/2009 17:00,Y, , ,1, 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,5937,LAURA AVE,76, , ,5937,LAURA,888967.6,1044135
2009-04,04/23/2009 17:00,Y, , ,1, 91123,6,SIMPLE ASSAULT-CHILD/NO INJURY,5937,LAURA AVE,76, , ,5937,LAURA,888967.6,1044135
2009-04,04/23/2009 17:20,Y, , ,1, 41013,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE,3311,MORGANFORD RD,15,PHILLIPS 66,GAS STATION, , ,888095.3,1006807
2009-04,04/23/2009 17:30,Y, , ,1, 72113,4,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,1510,N BROADWAY,64, ,EAST PARKING LOT,1510,BROADWAY,910034.7,1022038
2009-04,04/23/2009 17:30,Y, , ,1, 64601,2,"LARCENY-FROM MTR VEH $500 - $24,999",0,CITY: @GRAND BASIN F,82, ,ON LAGOON, , ,880067.8,1022430
2009-04,04/23/2009 17:35,Y, , ,1, 43015,9,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC,4201,LAFAYETTE AVE,28, , ,4201,LAFAYETTE,890664.3,1014220
2009-04,04/23/2009 17:35,Y, , ,1,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2700,PARK AVE,32, , ,2700,PARK,899420.9,1014127
2009-04,04/23/2009 17:38,Y, , ,1, 65701,7,LARCENY-MTR VEH PARTS UNDER $500,5562,CLEMENS AVE,48, , ,5562,CLEM0NS,882718.1,1027664
2009-04,04/23/2009 17:50,Y, , ,1,151130,1,WEAPONS-STATE VIOL/UNLWFL USE/CARRYING,3906,S GRAND BLVD,16, , ,3906,GRAND,893358.7,1002376
2009-04,04/23/2009 17:54,Y, , ,1, 91113,8,SIMPLE ASSAULT-ADULT/NO INJURY,3935,ENRIGHT AVE,58, ,@COLE SCHOOL,3935,ENRIGHT,895004.9,1023881
