Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
15-050808,2015-10,7/1/2015 14:00,Y, , ,1, ,67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4468,MARYLAND AVE,38, , ,4468,MARYLAND,889799.1,1023152
14-029645,2015-10,7/4/2014 15:54,Y, , ,1, ,223000,3,LIQUOR LAWS-LIQUOR LIC VIOLATION,900,BARTON ST,21,DS PLACE,@BAR- DS PLACE, , ,904006.3,1008540
15-050168,2015-10,7/6/2015 19:00,Y, , ,1, ,21000,2,RAPE -- FORCIBLE,2600,BRANNON AVE,13, , ,2600,BRANNON,0,0
15-050969,2015-10,7/13/2015 12:00,Y, , ,1, ,112020,6,FRAUD-CREDIT DEVICE/UNDER $150,5477,N KINGSHIGHWAY BLVD,71, , ,5477,KINGSHIGHWAY,895356.6,1040765
15-034839,2015-10,7/13/2015 18:30, , , ,-1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3445,VIRGINIA,30, , ,3445,VIRGINIA,0,0
15-034926,2015-10,7/14/2015 0:30, , , ,-1, ,71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3822,OREGON,16, , ,3822,OREGON,0,0
15-050634,2015-10,7/15/2015 6:00,Y, , ,1, ,91123,2,SIMPLE ASSAULT-CHILD/NO INJURY,2931,ELLENDALE AVE,10, ,IN HOME DAYCARE,2931,ELLENDALE,874099.4,1011230
15-035158,2015-10,7/15/2015 11:28,Y, , ,1, ,130000,4,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",70,WESTBOUND AT STAN MUSIAL BRDG,64, , , , ,0,0
15-050930,2015-10,7/20/2015 10:09,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4061,HOLLY HILLS AVE,5, , ,4061,HOLLY HILLS,885883.4,995906.6
15-036310,2015-10,7/21/2015 1:35, , , ,-1, ,41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3742,MINNESOTA,19, , ,3751,JEFFERSON,0,0
